id_nasabah,nama,tanggal_lahir,alamat,no_telepon,email,jenis_kelamin,pekerjaan
1001,Joko Wijaya,1995-11-11,Jl. Merdeka No. 10 Yogyakarta,08115471334,joko.wijaya@email.com,Laki-laki,Insinyur
1002,Ahmad Hidayat,1971-07-16,Jl. Merdeka No. 66 Semarang,08381302865,ahmad.hidayat@email.com,Perempuan,Guru
1003,Ani Santoso,1994-07-27,Jl. Gatot Subroto No. 53 Semarang,08460213766,ani.santoso@email.com,Laki-laki,Insinyur
1004,Ahmad Hidayat,2000-06-11,Jl. Pahlawan No. 35 Semarang,08003885568,ahmad.hidayat@email.com,Perempuan,Dokter
1005,Dewi Kusuma,1993-12-27,Jl. Gatot Subroto No. 49 Surabaya,08289044122,dewi.kusuma@email.com,Laki-laki,Guru
1006,Rina Lestari,1973-04-08,Jl. Diponegoro No. 55 Semarang,08710126898,rina.lestari@email.com,Laki-laki,Pengacara
1007,Dewi Saputra,1988-07-18,Jl. Pahlawan No. 47 Yogyakarta,08615721971,dewi.saputra@email.com,Perempuan,Insinyur
1008,Rina Nurhayati,2000-09-09,Jl. Diponegoro No. 99 Jakarta,08540681242,rina.nurhayati@email.com,Perempuan,Guru
1009,Siti Kusuma,1999-12-18,Jl. Merdeka No. 90 Semarang,08640852345,siti.kusuma@email.com,Perempuan,Wiraswasta
1010,Budi Santoso,2000-05-15,Jl. Pahlawan No. 42 Jakarta,08017018802,budi.santoso@email.com,Laki-laki,Pegawai Negeri
1011,Dewi Saputra,1982-07-25,Jl. Merdeka No. 91 Semarang,08993519107,dewi.saputra@email.com,Perempuan,Wiraswasta
1012,Ani Saputra,1987-04-03,Jl. Pahlawan No. 11 Semarang,08705127175,ani.saputra@email.com,Perempuan,Pegawai Negeri
1013,Budi Hidayat,1974-03-17,Jl. Pahlawan No. 42 Yogyakarta,08424531004,budi.hidayat@email.com,Laki-laki,Pegawai Negeri
1014,Rudi Santoso,1982-09-11,Jl. Merdeka No. 66 Jakarta,08899277789,rudi.santoso@email.com,Perempuan,Guru
1015,Budi Kusuma,1979-12-22,Jl. Sudirman No. 45 Yogyakarta,08445457463,budi.kusuma@email.com,Laki-laki,Pengacara
1016,Ani Nurhayati,1987-10-09,Jl. Pahlawan No. 40 Semarang,08788000058,ani.nurhayati@email.com,Laki-laki,Guru
1017,Rina Lestari,1997-11-21,Jl. Pahlawan No. 49 Yogyakarta,08103077899,rina.lestari@email.com,Perempuan,Akuntan
1018,Budi Lestari,1995-09-28,Jl. Sudirman No. 11 Surabaya,08418629789,budi.lestari@email.com,Laki-laki,Pengacara
1019,Rudi Nurhayati,1998-02-21,Jl. Merdeka No. 9 Jakarta,08705519854,rudi.nurhayati@email.com,Perempuan,Insinyur
1020,Ani Wijaya,1996-06-18,Jl. Gatot Subroto No. 50 Semarang,08230589365,ani.wijaya@email.com,Laki-laki,Pegawai Negeri
1021,Ani Saputra,1995-05-23,Jl. Sudirman No. 42 Jakarta,08705282227,ani.saputra@email.com,Perempuan,Pengacara
1022,Budi Wijaya,1997-11-16,Jl. Diponegoro No. 56 Surabaya,08100388007,budi.wijaya@email.com,Laki-laki,Pegawai Negeri
